Timestamp,language,problem
10/15/2024 3:40:19,Scratch,Scratch
10/15/2024 4:41:52,Python,"Hello, World"
10/15/2024 8:16:53,C,Tideman
10/15/2024 10:28:48,Python,Tideman
10/15/2024 10:28:51,Scratch,Mario
10/15/2024 10:28:51,Python,Credit
10/15/2024 10:28:52,C,Filter
10/15/2024 10:28:54,Python,Filter
10/15/2024 10:28:55,Scratch,Tideman
10/15/2024 10:28:55,Python,"Hello, World"
10/15/2024 10:28:56,C,Mario
10/15/2024 10:28:56,Python,"Hello, World"
10/15/2024 10:30:12,Scratch,Scratch
10/15/2024 10:35:44,C,Mario
10/15/2024 10:42:01,Python,Filter
10/15/2024 10:45:10,Scratch,Credit
10/15/2024 10:50:33,C,Tideman
10/15/2024 10:55:12,Python,Mario
10/15/2024 11:02:45,Scratch,"Hello, World"
10/15/2024 11:10:00,C,Filter
10/15/2024 11:15:22,Python,Scratch
10/15/2024 11:20:45,Scratch,Tideman
10/15/2024 11:25:30,C,Mario
10/15/2024 11:30:15,Python,Credit
10/15/2024 11:45:00,Scratch,"Hello, World"
10/15/2024 12:00:10,C,Tideman
10/15/2024 12:15:45,Python,Filter
10/15/2024 12:30:00,Scratch,Mario
10/15/2024 12:45:22,C,Credit
10/15/2024 13:00:00,Python,Scratch
10/15/2024 13:10:15,Scratch,Tideman
10/15/2024 13:20:30,C,Mario
10/15/2024 13:30:45,Python,Filter
10/15/2024 13:40:00,Scratch,"Hello, World"
10/15/2024 13:50:12,C,Tideman
10/15/2024 14:00:25,Python,Credit
10/15/2024 14:15:40,Scratch,Mario
10/15/2024 14:30:55,C,Scratch
10/15/2024 14:45:10,Python,Filter
10/15/2024 15:00:00,Scratch,"Hello, World"
10/15/2024 15:10:22,C,Mario
10/15/2024 15:20:35,Python,Tideman
10/15/2024 15:30:48,Scratch,Credit
10/15/2024 15:45:00,C,Filter
10/15/2024 16:00:15,Python,Scratch
10/15/2024 16:15:30,Scratch,Mario
10/15/2024 16:30:45,C,Tideman
10/15/2024 16:45:00,Python,"Hello, World"
10/15/2024 17:00:12,Scratch,Filter
10/15/2024 17:15:25,C,Credit
10/15/2024 17:30:40,Python,Mario
10/15/2024 17:45:55,Scratch,Scratch
10/15/2024 18:00:10,C,Tideman
10/15/2024 18:15:22,Python,Filter
10/15/2024 18:30:35,Scratch,"Hello, World"
10/15/2024 18:45:48,C,Mario
10/15/2024 19:00:00,Python,Credit
10/15/2024 19:15:15,Scratch,Tideman
10/15/2024 19:30:30,C,Scratch
10/15/2024 19:45:45,Python,Filter
10/15/2024 20:00:00,Scratch,"Hello, World"
10/16/2024 08:00:10,C,Mario
10/16/2024 08:15:25,Python,Tideman
10/16/2024 08:30:40,Scratch,Credit
10/16/2024 08:45:55,C,Filter
10/16/2024 09:00:12,Python,Scratch
10/16/2024 09:15:25,Scratch,Mario
10/16/2024 09:30:40,C,Tideman
10/16/2024 09:45:55,Python,"Hello, World"
10/16/2024 10:00:10,Scratch,Filter
10/16/2024 10:15:22,C,Credit
10/16/2024 10:30:35,Python,Mario
10/16/2024 10:45:4